time, color, angle
3017,48,10
3057,43,10
3098,41,10
3139,35,-10
3179,27,-10
3219,25,-10
3259,29,-10
3303,41,10
3346,49,10
3387,51,10
3428,45,10
3473,41,10
3516,36,-10
3557,32,-10
3598,27,-10
3639,31,-10
3681,34,-10
3721,40,0
3766,45,10
3806,47,10
3846,45,10
3886,42,10
3930,36,-10
3975,33,-10
4016,33,-10
4057,39,-10
4097,42,10
4144,46,10
4185,49,10
4226,48,10
4266,44,10
4306,43,10
4347,41,10
4387,39,-10
4427,35,-10
4468,34,-10
4509,37,-10
4550,41,10
4590,50,10
4631,50,10
4671,44,10
4715,42,10
4756,41,10
4796,39,-10
4836,29,-10
4876,26,-10
4917,28,-10
4958,33,-10
5001,39,-10
5041,42,10
5084,48,10
5126,52,10
5166,49,10
5207,40,0
5248,36,-10
5289,34,-10
5329,35,-10
5369,41,10
5410,44,10
5450,47,10
5494,46,10
5536,40,0
5577,36,-10
5617,34,-10
5660,34,-10
5703,40,0
5746,44,10
5786,46,10
5827,46,10
5867,43,10
5908,41,10
5951,36,-10
5995,31,-10
6046,30,-10
6089,36,-10
6130,40,0
6173,45,10
6216,53,10
6257,51,10
6298,49,10
6345,44,10
6386,40,0
6426,33,-10
6466,30,-10
6506,30,-10
6546,31,-10
6586,37,-10
6626,39,-10
6667,44,10
6709,49,10
6750,53,10
6790,50,10
6830,47,10
6871,43,10
6916,38,-10
6956,29,-10
6997,26,-10
7038,28,-10
7078,35,-10
7119,44,10
7160,48,10
7200,53,10
7240,49,10
7281,46,10
7325,40,0
7365,33,-10
7407,30,-10
7447,31,-10
7488,32,-10
7533,42,10
7575,48,10
7616,49,10
7656,44,10
7697,39,-10
7737,33,-10
7777,31,-10
7817,39,-10
7858,43,10
7901,40,0
7944,47,10
7985,38,-10
8026,39,-10
8067,32,-10
8107,34,-10
8147,40,0
8189,47,10
8229,49,10
8269,49,10
8309,45,10
8350,44,10
8390,44,10
8434,42,10
8477,41,10
8518,37,-10
8563,34,-10
8606,38,-10
17987,48,10
18027,42,10
18067,39,-10
18109,34,-10
18151,32,-10
18195,36,-10
18236,41,10
18276,44,10
18317,45,10
18360,41,10
18403,37,-10
18446,35,-10
18486,33,-10
18527,34,-10
18567,39,-10
18607,42,10
18651,46,10
18693,46,10
18737,45,10
18778,42,10
18818,40,0
18858,37,-10
18899,36,-10
18942,37,-10
18985,44,10
19026,48,10
19066,48,10
19106,46,10
19146,43,10
19186,41,10
19227,37,-10
19267,34,-10
19309,31,-10
19351,34,-10
19396,39,-10
19436,43,10
19477,47,10
19518,48,10
19561,45,10
19605,42,10
19646,38,-10
19686,36,-10
19730,35,-10
19771,36,-10
19811,48,10
19856,51,10
19896,52,10
19936,49,10
19976,45,10
20016,43,10
20056,39,-10
20097,34,-10
20138,31,-10
20179,33,-10
20220,36,-10
20260,41,10
20301,44,10
20341,48,10
20385,47,10
20426,45,10
20467,40,0
20510,37,-10
20550,32,-10
20591,34,-10
20631,40,0
20677,45,10
20717,46,10
20758,45,10
20798,39,-10
20839,34,-10
20880,31,-10
20920,36,-10
20961,39,-10
21005,44,10
21046,48,10
21086,50,10
21127,46,10
21167,44,10
21209,37,-10
21250,33,-10
21293,29,-10
21336,31,-10
21377,41,10
21417,41,10
21461,43,10
21504,39,-10
21546,32,-10
21586,30,-10
21626,32,-10
21666,39,-10
21708,44,10
21748,50,10
21788,53,10
21828,51,10
21869,47,10
21912,44,10
21955,40,0
21995,34,-10
22036,30,-10
22076,30,-10
22117,36,-10
22158,41,10
22198,43,10
22238,48,10
22279,46,10
22319,37,-10
22359,32,-10
22401,29,-10
22446,33,-10
22486,40,0
22528,42,10
22569,44,10
22609,43,10
22651,36,-10
22695,31,-10
22736,27,-10
22779,32,-10
22820,37,-10
22860,41,10
22907,46,10
22948,47,10
22989,44,10
23030,43,10
23070,47,10
23111,41,10
23151,34,-10
23196,32,-10
23237,30,-10
23278,34,-10
23325,40,0
23366,42,10
23406,44,10
23446,43,10
23487,39,-10
23527,33,-10
23573,30,-10
23616,34,-10
23657,37,-10
23697,43,10
23737,48,10
23777,50,10
23818,46,10
23859,39,-10
23900,32,-10
23940,31,-10
23985,37,-10
24025,42,10
24066,48,10
24111,49,10
24156,43,10
24197,33,-10
24237,27,-10
24277,27,-10
24319,30,-10
24360,36,-10
24400,41,10
24440,47,10
24480,48,10
24520,42,10
24560,39,-10
24603,33,-10
24646,33,-10
24687,37,-10
24728,44,10
24768,48,10
24808,53,10
24851,49,10
24896,42,10
24939,38,-10
24979,33,-10
25019,29,-10
25059,30,-10
25099,39,-10
25139,43,10
25180,45,10
25224,46,10
25265,43,10
25306,37,-10
25347,34,-10
25387,31,-10
25427,36,-10
25467,40,0
25508,44,10
25550,45,10
25590,44,10
25631,38,-10
25675,34,-10
25719,32,-10
25761,38,-10
25805,43,10
25846,48,10
25887,51,10
25929,49,10
25969,45,10
26009,42,10
26050,39,-10
26090,36,-10
26131,29,-10
26175,36,-10
26216,39,-10
26257,47,10
26299,50,10
26339,50,10
26379,43,10
26420,41,10
26460,34,-10
26500,31,-10
26541,27,-10
26585,28,-10
26626,32,-10
26666,37,-10
26706,40,0
26746,46,10
26786,49,10
26829,51,10
26869,47,10
26915,41,10
26957,36,-10
26998,30,-10
27038,26,-10
27078,30,-10
27118,37,-10
27158,40,0
27198,44,10
27238,47,10
27278,48,10
27319,45,10
27359,38,-10
27400,34,-10
27441,29,-10
27485,37,-10
27526,46,10
27567,49,10
27607,50,10
27651,44,10
27693,41,10
27737,37,-10
27779,30,-10
27820,26,-10
27861,31,-10
27905,35,-10
27946,42,10
27987,44,10
28028,46,10
28069,45,10
28111,37,-10
28151,34,-10
28194,32,-10
28236,36,-10
28277,41,10
28318,45,10
28358,47,10
28398,45,10
28438,38,-10
28479,35,-10
28519,32,-10
28559,35,-10
28600,42,10
28645,46,10
28686,48,10
28726,45,10
28766,41,10
28806,37,-10
28848,33,-10
28888,31,-10
28929,34,-10
28971,40,0
29011,48,10
29060,53,10
29100,52,10
29144,49,10
29186,45,10
29226,37,-10
29266,28,-10
29306,22,-10
29346,30,-10
29389,38,-10
29430,48,10
29470,70,10
29511,71,10
29555,59,10
29596,48,10
29637,43,10
29677,35,-10
29717,29,-10
29760,26,-10
29800,29,-10
29840,37,-10
29885,45,10
29926,51,10
29967,55,10
30008,51,10
30048,43,10
30088,35,-10
30129,29,-10
30170,28,-10
30210,30,-10
30254,38,-10
30295,44,10
30336,48,10
30376,52,10
30416,48,10
30456,40,0
30496,34,-10
30545,27,-10
30586,31,-10
30633,43,10
30677,54,10
30717,53,10
30757,49,10
30797,39,-10
30837,36,-10
30880,31,-10
30924,40,0
30968,43,10
31009,48,10
31049,44,10
31089,34,-10
31136,29,-10
31177,28,-10
31218,34,-10
31259,40,0
31300,43,10
31342,48,10
31385,46,10
31427,39,-10
31467,32,-10
31507,31,-10
31549,34,-10
31590,41,10
31630,46,10
31670,52,10
31711,48,10
31753,41,10
31796,37,-10
31837,31,-10
31878,29,-10
31923,37,-10
31966,45,10
32006,49,10
32046,52,10
32086,51,10
32127,44,10
32168,35,-10
32209,29,-10
32250,27,-10
32296,32,-10
32337,35,-10
32378,38,-10
32421,42,10
32465,47,10
32506,49,10
32551,47,10
32595,42,10
32637,36,-10
32678,32,-10
32719,26,-10
32763,29,-10
32806,33,-10
32846,39,-10
32887,42,10
32928,45,10
32969,48,10
33011,42,10
33055,38,-10
33096,34,-10
33136,32,-10
33177,34,-10
33229,43,10
33269,47,10
33309,52,10
33351,51,10
33395,44,10
33436,41,10
33476,36,-10
33517,33,-10
33557,31,-10
33598,35,-10
33639,41,10
33680,44,10
33720,45,10
33760,42,10
33800,32,-10
33840,30,-10
33880,29,-10
33920,33,-10
33960,38,-10
34000,41,10
34040,46,10
34080,46,10
34124,42,10
34164,38,-10
34207,33,-10
34248,32,-10
34289,33,-10
34329,37,-10
34369,42,10
34410,46,10
34451,48,10
34495,46,10
34535,43,10
34578,38,-10
34619,35,-10
34659,33,-10
34699,35,-10
34739,39,-10
34785,43,10
34826,47,10
34867,48,10
34907,47,10
34947,46,10
34988,44,10
35029,40,0
35069,36,-10
35109,33,-10
35149,35,-10
35191,39,-10
35235,42,10
35275,44,10
35316,46,10
35357,42,10
35398,37,-10
35439,33,-10
35479,32,-10
35519,33,-10
35559,41,10
35599,45,10
48675,35,-10
48717,33,-10
48758,31,-10
48798,34,-10
48838,42,10
48878,44,10
48921,45,10
48965,35,-10
49008,28,-10
49049,37,-10
49090,38,-10
49134,40,0
49175,52,10
49219,54,10
49260,57,10
49300,49,10
49341,45,10
49385,34,-10
49427,24,-10
49468,25,-10
49511,33,-10
49555,40,0
49596,46,10
49637,50,10
49677,46,10
49717,39,-10
49761,35,-10
49801,31,-10
49841,42,10
49883,52,10
49926,56,10
49967,52,10
50007,42,10
50048,38,-10
50089,33,-10
50129,31,-10
50176,35,-10
50217,38,-10
50258,47,10
50299,52,10
50339,57,10
50379,54,10
50419,40,0
50459,36,-10
50499,35,-10
50539,37,-10
50579,42,10
50619,46,10
50660,48,10
50704,45,10
50746,42,10
50786,37,-10
50826,33,-10
50867,36,-10
50907,40,0
50949,38,-10
50989,38,-10
51029,40,0
51069,45,10
51109,52,10
51155,49,10
51196,43,10
51237,36,-10
51277,29,-10
51324,26,-10
51367,30,-10
51407,37,-10
51447,41,10
51487,49,10
51527,53,10
51569,48,10
51609,37,-10
51649,30,-10
51690,26,-10
51730,27,-10
51770,36,-10
51810,42,10
51850,48,10
51890,58,10
51931,53,10
51975,45,10
52016,38,-10
52056,33,-10
52096,32,-10
52136,38,-10
52176,47,10
52217,56,10
52257,60,10
52297,56,10
52337,49,10
52378,40,0
52418,34,-10
52458,33,-10
52498,33,-10
52539,38,-10
52580,45,10
52620,52,10
52664,53,10
52706,47,10
52747,38,-10
52791,34,-10
52831,32,-10
52876,35,-10
52917,43,10
52957,47,10
52998,51,10
53039,48,10
53080,39,-10
53121,34,-10
53161,31,-10
53202,36,-10
53246,43,10
53287,47,10
53328,48,10
53369,45,10
53409,37,-10
53450,34,-10
53494,33,-10
53536,35,-10
53576,44,10
53616,47,10
53657,50,10
53699,47,10
53741,43,10
53785,39,-10
53825,36,-10
53867,31,-10
53907,32,-10
53948,39,-10
53988,44,10
54029,48,10
54070,52,10
54114,44,10
54156,36,-10
54211,29,-10
54251,23,-10
54291,27,-10
54335,34,-10
54376,40,0
54417,45,10
54458,50,10
54499,49,10
54539,44,10
54579,43,10
54620,40,0
54661,33,-10
54707,27,-10
54747,27,-10
54787,30,-10
54828,37,-10
54868,43,10
54912,47,10
54956,50,10
54997,48,10
55037,43,10
55077,41,10
55117,35,-10
55161,31,-10
55205,29,-10
55246,30,-10
55289,35,-10
55330,37,-10
55371,45,10
55411,52,10
55454,53,10
55496,51,10
55536,43,10
55576,38,-10
55616,35,-10
55656,31,-10
55699,35,-10
55743,41,10
55786,44,10
55827,45,10
55867,41,10
55907,34,-10
55947,31,-10
55987,29,-10
56027,32,-10
56067,37,-10
56110,43,10
56153,48,10
56196,49,10
56236,44,10
56277,38,-10
56318,36,-10
56359,33,-10
56399,35,-10
56440,40,0
56481,42,10
56521,44,10
56561,44,10
56601,42,10
56641,43,10
56686,36,-10
56727,33,-10
56768,31,-10
56808,35,-10
56849,42,10
56891,45,10
56932,46,10
56975,45,10
57021,36,-10
57065,33,-10
57106,30,-10
57147,35,-10
57188,41,10
57228,45,10
57268,46,10
57308,40,0
57348,34,-10
57396,35,-10
57439,40,0
57479,36,-10
57519,41,10
57560,45,10
57600,44,10
57640,43,10
57684,35,-10
57726,29,-10
57767,27,-10
57807,28,-10
57849,34,-10
57889,40,0
57929,45,10
57970,48,10
58010,47,10
58054,44,10
58096,40,0
58137,37,-10
58178,33,-10
58223,34,-10
58266,37,-10
58306,40,0
58346,46,10
58386,49,10
58427,49,10
58468,46,10
58508,38,-10
58555,35,-10
58596,35,-10
58637,41,10
58678,47,10
58718,46,10
58759,43,10
58800,39,-10
58840,37,-10
58881,36,-10
58925,39,-10
58966,42,10
59007,47,10
59047,49,10
59087,47,10
59127,40,0
59167,38,-10
59207,34,-10
59252,36,-10
59296,41,10
59336,44,10
59376,47,10
59417,46,10
59466,41,10
59506,40,0
59547,32,-10
59588,28,-10
59628,29,-10
59669,33,-10
59710,37,-10
59750,42,10
59795,47,10
59836,47,10
59877,44,10
59917,39,-10
59958,34,-10
59998,31,-10
60039,34,-10
60079,36,-10
60119,39,-10
60159,43,10
60199,45,10
60240,48,10
60281,46,10
60322,43,10
60364,40,0
60406,36,-10
60447,30,-10
60488,32,-10
60529,41,10
60569,44,10
60609,44,10
60649,41,10
60690,34,-10
60733,29,-10
60775,30,-10
60815,36,-10
60855,40,0
60896,42,10
60936,43,10
60976,43,10
61017,42,10
61058,38,-10
61101,34,-10
61145,33,-10
61187,35,-10
61228,39,-10
61269,42,10
61310,44,10
61350,45,10
61397,42,10
61438,40,0
61479,37,-10
61520,35,-10
61561,36,-10
61601,42,10
61645,43,10
61686,45,10
61727,43,10
61767,40,0
61808,38,-10
61849,35,-10
61890,36,-10
61931,41,10
61975,44,10
62016,45,10
62057,43,10
62097,39,-10
62139,36,-10
62179,33,-10
62219,37,-10
62259,40,0
62299,44,10
62340,47,10
62385,47,10
62426,46,10
62466,44,10
62506,42,10
62547,36,-10
62588,33,-10
62636,31,-10
62677,35,-10
62718,41,10
62758,43,10
62800,43,10
62840,40,0
62880,32,-10
62921,27,-10
62965,28,-10
63005,32,-10
63046,36,-10
63086,39,-10
63127,42,10
63168,44,10
63209,47,10
63249,45,10
63290,41,10
63331,36,-10
63371,35,-10
63415,31,-10
63457,32,-10
63497,40,0
74579,40,0
74620,36,-10
74660,32,-10
74700,32,-10
74744,39,-10
74786,45,10
74827,49,10
74868,51,10
74911,49,10
74951,44,10
74997,40,0
75038,35,-10
75081,32,-10
75125,31,-10
75167,35,-10
75207,39,-10
75247,42,10
75287,45,10
75330,49,10
75373,46,10
75416,45,10
75456,43,10
75498,38,-10
75539,32,-10
75579,30,-10
75625,35,-10
75666,37,-10
75707,41,10
75748,44,10
75788,44,10
75828,42,10
75869,35,-10
75912,29,-10
75956,26,-10
75996,29,-10
76037,36,-10
76078,36,-10
76126,44,10
76166,48,10
76206,50,10
76246,46,10
76286,40,0
76327,37,-10
76368,35,-10
76408,34,-10
76449,38,-10
76489,49,10
76536,56,10
76576,57,10
76616,56,10
76656,48,10
76697,43,10
76738,34,-10
76781,29,-10
76821,27,-10
76865,32,-10
76906,39,-10
76947,44,10
76987,46,10
77027,51,10
77070,47,10
77110,43,10
77150,35,-10
77194,29,-10
77236,29,-10
77278,32,-10
77319,38,-10
77360,39,-10
77400,45,10
77440,52,10
77481,57,10
77525,56,10
77566,51,10
77607,45,10
77651,42,10
77695,37,-10
77736,29,-10
77776,26,-10
77816,27,-10
77857,36,-10
77898,39,-10
77939,49,10
77980,53,10
78020,58,10
78065,50,10
78106,44,10
78147,42,10
78188,33,-10
78230,28,-10
78273,24,-10
78317,28,-10
78358,32,-10
78399,36,-10
78441,44,10
78485,50,10
78526,56,10
78567,55,10
78609,52,10
78650,43,10
78694,36,-10
78736,30,-10
78777,32,-10
78817,31,-10
78857,39,-10
78897,46,10
78938,58,10
78978,52,10
79018,45,10
79058,37,-10
79099,32,-10
79142,29,-10
79182,31,-10
79226,36,-10
79266,42,10
79316,53,10
79357,53,10
79398,49,10
79439,42,10
79480,35,-10
79521,31,-10
79561,25,-10
79605,30,-10
79645,36,-10
79686,43,10
79726,46,10
79766,50,10
79807,46,10
79848,43,10
79889,39,-10
79929,36,-10
79969,31,-10
80010,33,-10
80050,37,-10
80095,40,0
80136,46,10
80177,52,10
80218,53,10
80261,48,10
80302,46,10
80344,42,10
80387,33,-10
80427,26,-10
