time, color, angle
0, 5, -50
40, 6, -50
80, 5, -50
120, 5, -50
165, 6, -50
206, 5, -50
246, 9, -50
288, 21, -50
331, 46, 50
374, 62, 50
415, 66, 50
455, 66, 50
495, 64, 50
535, 62, 50
575, 48, 50
615, 31, -50
656, 12, -50
697, 5, -50
740, 5, -50
788, 9, -50
828, 18, -50
869, 34, -50
910, 50, 50
954, 65, 50
995, 68, 50
1036, 68, 50
1076, 68, 50
1117, 66, 50
1157, 58, 50
1197, 47, 50
1238, 26, -50
1279, 10, -50
1320, 5, -50
1368, 5, -50
1409, 8, -50
1449, 19, -50
1489, 41, 50
1534, 57, 50
1575, 66, 50
1618, 66, 50
1663, 60, 50
1705, 39, -50
1746, 18, -50
1786, 7, -50
1826, 6, -50
1867, 16, -50
1907, 43, 50
1947, 59, 50
1987, 65, 50
2032, 68, 50
2075, 65, 50
2116, 53, 50
2156, 27, -50
2196, 12, -50
2236, 5, -50
2277, 5, -50
2317, 5, -50
2357, 19, -50
2397, 34, -50
2440, 50, 50
2480, 66, 50
2524, 68, 50
2565, 69, 50
2605, 68, 50
2645, 62, 50
2685, 51, 50
2725, 33, -50
2766, 12, -50
2810, 5, -50
2851, 4, -50
2895, 6, -50
2936, 22, -50
2977, 54, 50
3017, 61, 50
3057, 65, 50
3097, 67, 50
3137, 66, 50
3177, 64, 50
3218, 44, 50
3259, 17, -50
3299, 7, -50
3340, 5, -50
3381, 5, -50
3425, 4, -50
3465, 6, -50
3505, 14, -50
3545, 30, -50
3585, 46, 50
3625, 55, 50
3666, 57, 50
3707, 59, 50
3748, 57, 50
3788, 55, 50
3829, 48, 50
3870, 26, -50
3914, 11, -50
3955, 6, -50
3995, 5, -50
4038, 6, -50
4078, 20, -50
4119, 37, -50
4160, 45, 50
4204, 57, 50
4245, 60, 50
4286, 60, 50
4327, 59, 50
4369, 58, 50
4418, 53, 50
4458, 39, -50
4498, 24, -50
4538, 10, -50
4580, 7, -50
4620, 14, -50
4660, 28, -50
4704, 44, 50
4745, 55, 50
4785, 60, 50
4825, 64, 50
4870, 62, 50
4914, 59, 50
4955, 43, 50
4996, 22, -50
5037, 11, -50
5077, 4, -50
5117, 4, -50
5157, 5, -50
5198, 16, -50
5239, 37, -50
5280, 58, 50
5322, 70, 50
5365, 73, 50
5418, 74, 50
5458, 74, 50
5498, 68, 50
5539, 53, 50
5579, 24, -50
5620, 9, -50
5663, 5, -50
5705, 5, -50
5746, 5, -50
5787, 8, -50
5828, 33, -50
5868, 62, 50
5909, 75, 50
5950, 77, 50
5990, 75, 50
6031, 75, 50
6075, 74, 50
6115, 62, 50
6155, 23, -50
6195, 7, -50
6235, 5, -50
6275, 9, -50
6315, 10, -50
6356, 13, -50
6396, 27, -50
6440, 49, 50
6480, 63, 50
6521, 67, 50
6565, 68, 50
6605, 66, 50
6645, 63, 50
6685, 49, 50
6725, 33, -50
6766, 18, -50
6808, 8, -50
6848, 5, -50
6890, 6, -50
6931, 15, -50
6976, 47, 50
7017, 68, 50
7057, 77, 50
7098, 78, 50
7139, 77, 50
7183, 69, 50
7223, 47, 50
7266, 20, -50
7306, 5, -50
7347, 5, -50
7389, 6, -50
7433, 5, -50
7475, 7, -50
7515, 18, -50
7556, 46, 50
7597, 75, 50
7638, 81, 50
7679, 81, 50
7719, 81, 50
7763, 77, 50
7805, 57, 50
7846, 24, -50
7894, 8, -50
7935, 5, -50
7975, 6, -50
8019, 5, -50
8060, 11, -50
8104, 38, -50
8145, 66, 50
8185, 78, 50
8225, 78, 50
8265, 78, 50
8305, 77, 50
8345, 74, 50
8386, 64, 50
8426, 36, -50
8466, 14, -50
8508, 9, -50
8552, 5, -50
8595, 8, -50
8636, 24, -50
8684, 56, 50
8725, 62, 50
8766, 66, 50
8806, 66, 50
8847, 65, 50
8887, 63, 50
8928, 52, 50
8968, 36, -50
9008, 15, -50
9050, 6, -50
9094, 5, -50
9135, 5, -50
9176, 13, -50
9216, 39, -50
9256, 50, 50
9297, 63, 50
9337, 65, 50
9378, 69, 50
9419, 68, 50
9459, 68, 50
9499, 60, 50
9542, 39, -50
9585, 23, -50
9632, 12, -50
9676, 16, -50
9717, 19, -50
9757, 37, -50
9804, 58, 50
9845, 67, 50
9886, 70, 50
9927, 71, 50
9967, 69, 50
10008, 68, 50
10049, 64, 50
10094, 50, 50
10135, 28, -50
10176, 12, -50
10224, 5, -50
10265, 5, -50
10306, 5, -50
10347, 15, -50
10387, 31, -50
10430, 52, 50
10470, 66, 50
10510, 71, 50
10554, 72, 50
10594, 70, 50
10636, 67, 50
10679, 48, 50
10722, 21, -50
10765, 7, -50
10805, 5, -50
10847, 4, -50
10888, 4, -50
10929, 10, -50
10969, 31, -50
11009, 58, 50
11049, 72, 50
11090, 75, 50
11135, 75, 50
11176, 75, 50
11217, 74, 50
11258, 66, 50
11300, 43, 50
11345, 11, -50
11386, 5, -50
11427, 5, -50
11470, 5, -50
11516, 5, -50
11557, 5, -50
11597, 18, -50
11640, 44, 50
11681, 66, 50
11725, 73, 50
11765, 75, 50
11805, 73, 50
11845, 66, 50
11885, 38, -50
11925, 13, -50
11965, 6, -50
12006, 5, -50
12046, 6, -50
12087, 17, -50
12127, 39, -50
12167, 60, 50
12207, 71, 50
12247, 75, 50
12287, 75, 50
12328, 74, 50
12368, 71, 50
12408, 57, 50
12450, 41, 50
